Ref,Val,Package,PosX,PosY,Rot,Side
"C1","18pF","C_0603_1608Metric",136.450000,-121.662500,90.000000,top
"C2","18pF","C_0603_1608Metric",136.450000,-118.412500,270.000000,top
"R1","10K","R_1206_3216Metric",154.200000,-120.600000,90.000000,top
"R2","10K","R_1206_3216Metric",154.200000,-115.850000,270.000000,top
"R3","470","R_1206_3216Metric",141.300000,-94.200000,0.000000,top
"R4","470","R_1206_3216Metric",141.300000,-96.700000,0.000000,top
"R5","470","R_1206_3216Metric",141.300000,-99.200000,180.000000,top
"R6","470","R_1206_3216Metric",141.300000,-101.700000,180.000000,top
"R7","470","R_1206_3216Metric",149.600000,-104.200000,180.000000,top
"R8","470","R_1206_3216Metric",149.600000,-106.700000,180.000000,top
"R9","470","R_1206_3216Metric",149.600000,-109.200000,180.000000,top
"R10","470","R_1206_3216Metric",149.600000,-111.700000,180.000000,top
"U1","LD1117S33TR_SOT223","SOT-223-3_TabPin2",131.650000,-97.050000,90.000000,top
"U2","ATtiny84A-SSU","SOIC-14_3.9x8.7mm_P1.27mm",131.475000,-106.200000,0.000000,top
"U3","SN74HC595D","SOIC-16_3.9x9.9mm_P1.27mm",142.675000,-108.200000,0.000000,top
"U4","SN74HC595D","SOIC-16_3.9x9.9mm_P1.27mm",148.225000,-97.525000,180.000000,top
